"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Tenable.io","Virtualization Host","10.81.1.48","virt-tenable-io-069.example.internal","virt-tenable-io-069","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Cloud Asset","10.81.1.49","cld-tenable-io-070.example.internal","cld-tenable-io-070","Cloud Platform","AWS EC2"
"Tenable.io","Virtualization Host","10.81.1.50","virt-tenable-io-071.example.internal","virt-tenable-io-071","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Endpoint","10.81.1.51","ep-tenable-io-072.example.internal","ep-tenable-io-072","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Endpoint","10.81.1.52","ep-tenable-io-073.example.internal","ep-tenable-io-073","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Cloud Asset","10.81.1.53","cld-tenable-io-074.example.internal","cld-tenable-io-074","Cloud Platform","AWS EC2"
"Tenable.io","Linux Server","10.81.1.54","lnx-tenable-io-075.example.internal","lnx-tenable-io-075","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Virtualization Host","10.81.1.55","virt-tenable-io-076.example.internal","virt-tenable-io-076","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Windows Server","10.81.1.56","win-tenable-io-077.example.internal","win-tenable-io-077","Windows Operations","Windows Server 2022"
"Tenable.io","Database","10.81.1.57","db-tenable-io-078.example.internal","db-tenable-io-078","Database Operations","PostgreSQL 16"
"Tenable.io","Linux Server","10.81.1.58","lnx-tenable-io-079.example.internal","lnx-tenable-io-079","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Windows Server","10.81.1.59","win-tenable-io-080.example.internal","win-tenable-io-080","Windows Operations","Windows Server 2022"
"Tenable.io","Linux Server","10.81.1.60","lnx-tenable-io-081.example.internal","lnx-tenable-io-081","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Cloud Asset","10.81.1.61","cld-tenable-io-082.example.internal","cld-tenable-io-082","Cloud Platform","AWS EC2"
"Tenable.io","Network Device","10.81.1.62","net-tenable-io-083.example.internal","net-tenable-io-083","Network Engineering","Cisco IOS XE 17"
"Tenable.io","Security Appliance","10.81.1.63","sec-tenable-io-084.example.internal","sec-tenable-io-084","Security Operations","Palo Alto PAN-OS 11"
"Tenable.io","Endpoint","10.81.1.64","ep-tenable-io-085.example.internal","ep-tenable-io-085","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Database","10.81.1.65","db-tenable-io-086.example.internal","db-tenable-io-086","Database Operations","PostgreSQL 16"
"Tenable.io","Endpoint","10.81.1.66","ep-tenable-io-087.example.internal","ep-tenable-io-087","Endpoint Engineering","Windows 11 Enterprise"
"Tenable.io","Security Appliance","10.81.1.67","sec-tenable-io-088.example.internal","sec-tenable-io-088","Security Operations","Palo Alto PAN-OS 11"
"Tenable.io","Linux Server","10.81.1.68","lnx-tenable-io-089.example.internal","lnx-tenable-io-089","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Virtualization Host","10.81.1.69","virt-tenable-io-090.example.internal","virt-tenable-io-090","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Virtualization Host","10.81.1.70","virt-tenable-io-091.example.internal","virt-tenable-io-091","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Network Device","10.81.1.71","net-tenable-io-092.example.internal","net-tenable-io-092","Network Engineering","Cisco IOS XE 17"
"Tenable.io","Cloud Asset","10.81.1.72","cld-tenable-io-093.example.internal","cld-tenable-io-093","Cloud Platform","AWS EC2"
"Tenable.io","Windows Server","10.81.1.73","win-tenable-io-094.example.internal","win-tenable-io-094","Windows Operations","Windows Server 2022"
"Tenable.io","Windows Server","10.81.1.74","win-tenable-io-095.example.internal","win-tenable-io-095","Windows Operations","Windows Server 2022"
"Tenable.io","Database","10.81.1.75","db-tenable-io-096.example.internal","db-tenable-io-096","Database Operations","PostgreSQL 16"
"Tenable.io","Virtualization Host","10.81.1.76","virt-tenable-io-097.example.internal","virt-tenable-io-097","Infrastructure Operations","VMware ESXi 8"
"Tenable.io","Linux Server","10.81.1.77","lnx-tenable-io-098.example.internal","lnx-tenable-io-098","Linux Operations","Ubuntu 24.04 LTS"
"Tenable.io","Cloud Asset","10.81.1.78","cld-tenable-io-099.example.internal","cld-tenable-io-099","Cloud Platform","AWS EC2"
"Tenable.io","Endpoint","10.81.1.79","ep-tenable-io-100.example.internal","ep-tenable-io-100","Endpoint Engineering","Windows 11 Enterprise"
