Vulnerability Priority Rating,Exploit Prediction Scoring System (EPSS),IP Address,Protocol,Port,ACR,AES,Exploit?,Repository,MAC Address,DNS Name,NetBIOS Name,Plugin Output,Synopsis,Description,Steps to Remediate,Risk Factor,STIG Severity,CVSS V2 Base Score,CVSS V3 Base Score,CVSS V4 Base Score,CVSS V2 Temporal Score,CVSS V3 Temporal Score,CVSS V4 Threat Score,CVSS V2 Vector,CVSS V3 Vector,CVSS V4 Vector,CVSS V4 Threat Vector,CVSS V4 Supplemental,CPE,CVE,BID,Cross References,First Discovered,Last Observed,Vuln Publication Date,Security End of Life Date,Patch Publication Date,Plugin Publication Date,Plugin Modification Date,Exploit Ease,Exploit Frameworks,Check Type,Version,Recast Risk Comment,Accept Risk Comment,Agent ID,Host ID,Nessus Web Tests,Thorough Tests,Scan Accuracy,Plugin Name,Family,Plugin,Severity,See Also
9.8,0.891,10.20.11.21,tcp,8009,741,691,Yes,MVA Sample Repository,00:16:3e:29:aa:20,asset-001.corp.local,ASSET-001,Apache Tomcat AJP Request Injection detected on 10.20.11.21:8009.,Apache Tomcat AJP Request Injection,Apache Tomcat AJP Request Injection was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2020-1938,90041,https://tomcat.apache.org/security-9.html,2026-04-16,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0041,host-0041,No,Yes,High,Apache Tomcat AJP Request Injection,Web Servers,200041,Critical,https://tomcat.apache.org/security-9.html
7.4,0.673,10.20.12.22,tcp,8080,742,692,No,MVA Sample Repository,00:16:3e:2a:aa:27,asset-002.corp.local,ASSET-002,Apache Log4j Remote Code Execution detected on 10.20.12.22:8080.,Apache Log4j Remote Code Execution,Apache Log4j Remote Code Execution was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2021-44228,90042,https://logging.apache.org/log4j/2.x/security.html,2026-04-17,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0042,host-0042,No,Yes,High,Apache Log4j Remote Code Execution,Web Servers,200042,High,https://logging.apache.org/log4j/2.x/security.html
5.4,0.491,10.20.13.23,tcp,1433,743,693,No,MVA Sample Repository,00:16:3e:2b:aa:2e,asset-003.corp.local,ASSET-003,Microsoft SQL Server Unsupported Version detected on 10.20.13.23:1433.,Microsoft SQL Server Unsupported Version,Microsoft SQL Server Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Medium,Medium,5.0,6.5,6.2,5.0,6.5,6.2,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:databases,,90043,https://learn.microsoft.com/sql/sql-server/end-of-support,2026-04-18,2026-06-30,2025-01-15,2026-12-31,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0043,host-0043,No,Yes,High,Microsoft SQL Server Unsupported Version,Databases,200043,Medium,https://learn.microsoft.com/sql/sql-server/end-of-support
2.4,0.218,10.20.14.24,tcp,443,744,694,No,MVA Sample Repository,00:16:3e:2c:aa:35,asset-004.corp.local,ASSET-004,OpenSSL Security Update Available detected on 10.20.14.24:443.,OpenSSL Security Update Available,OpenSSL Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Low,Low,2.6,3.7,3.5,2.6,3.7,3.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:general,CVE-2023-0286,90044,https://www.openssl.org/news/vulnerabilities.html,2026-01-29,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0044,host-0044,No,Yes,High,OpenSSL Security Update Available,General,200044,Low,https://www.openssl.org/news/vulnerabilities.html
9.4,0.855,10.20.15.25,tcp,3389,745,695,No,MVA Sample Repository,00:16:3e:2d:aa:3c,asset-005.corp.local,ASSET-005,Remote Desktop Weak Encryption Enabled detected on 10.20.15.25:3389.,Remote Desktop Weak Encryption Enabled,Remote Desktop Weak Encryption Enabled was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:windows,,90045,https://www.tenable.com/plugins,2026-04-20,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0045,host-0045,No,Yes,High,Remote Desktop Weak Encryption Enabled,Windows,200045,Critical,https://www.tenable.com/plugins
7.8,0.709,10.20.16.26,tcp,443,746,696,Yes,MVA Sample Repository,00:16:3e:2e:aa:43,asset-006.corp.local,ASSET-006,Nginx Security Update Available detected on 10.20.16.26:443.,Nginx Security Update Available,Nginx Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2025-2345,90046,https://nginx.org/en/security_advisories.html,2026-04-21,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0046,host-0046,No,Yes,High,Nginx Security Update Available,Web Servers,200046,High,https://nginx.org/en/security_advisories.html
5.4,0.491,10.20.17.27,tcp,445,747,697,No,MVA Sample Repository,00:16:3e:2f:aa:4a,asset-007.corp.local,ASSET-007,SMB Signing Not Required detected on 10.20.17.27:445.,SMB Signing Not Required,SMB Signing Not Required was identified during the monthly vulnerability report.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,Medium,Medium,5.0,6.5,6.2,5.0,6.5,6.2,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:windows,,90047,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,2026-04-22,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0047,host-0047,No,Yes,High,SMB Signing Not Required,Windows,200047,Medium,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always
2.4,0.218,10.20.18.28,tcp,0,748,698,No,MVA Sample Repository,00:16:3e:30:aa:51,asset-008.corp.local,ASSET-008,Oracle Java Unsupported Version detected on 10.20.18.28:0.,Oracle Java Unsupported Version,Oracle Java Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Low,Low,2.6,3.7,3.5,2.6,3.7,3.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:general,CVE-2024-20919,90048,https://www.tenable.com/plugins,2026-04-23,2026-06-30,2025-01-15,2026-12-31,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0048,host-0048,No,Yes,High,Oracle Java Unsupported Version,General,200048,Low,https://www.tenable.com/plugins
9.8,0.891,10.20.10.29,tcp,0,749,699,Yes,MVA Sample Repository,00:16:3e:31:aa:58,asset-009.corp.local,ASSET-009,Linux Kernel Security Update Available detected on 10.20.10.29:0.,Linux Kernel Security Update Available,Linux Kernel Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:linux,CVE-2024-1086,90049,https://www.tenable.com/plugins,2026-04-24,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0049,host-0049,No,Yes,High,Linux Kernel Security Update Available,Linux,200049,Critical,https://www.tenable.com/plugins
7.8,0.709,10.20.11.30,tcp,443,750,700,Yes,MVA Sample Repository,00:16:3e:32:aa:5f,asset-010.corp.local,ASSET-010,TLS 1.0 Protocol Detection detected on 10.20.11.30:443.,TLS 1.0 Protocol Detection,TLS 1.0 Protocol Detection was identified during the monthly vulnerability report.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the service.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:ssl,,90050,https://www.tenable.com/plugins,2026-04-25,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0050,host-0050,No,Yes,High,TLS 1.0 Protocol Detection,SSL,200050,High,https://www.tenable.com/plugins
5.4,0.491,10.20.12.31,tcp,8009,751,701,No,MVA Sample Repository,00:16:3e:33:aa:66,asset-011.corp.local,ASSET-011,Apache Tomcat AJP Request Injection detected on 10.20.12.31:8009.,Apache Tomcat AJP Request Injection,Apache Tomcat AJP Request Injection was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Medium,Medium,5.0,6.5,6.2,5.0,6.5,6.2,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2020-1938,90051,https://tomcat.apache.org/security-9.html,2025-11-12,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0051,host-0051,No,Yes,High,Apache Tomcat AJP Request Injection,Web Servers,200051,Medium,https://tomcat.apache.org/security-9.html
2.4,0.218,10.20.13.32,tcp,8080,752,702,No,MVA Sample Repository,00:16:3e:34:aa:6d,asset-012.corp.local,ASSET-012,Apache Log4j Remote Code Execution detected on 10.20.13.32:8080.,Apache Log4j Remote Code Execution,Apache Log4j Remote Code Execution was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",Low,Low,2.6,3.7,3.5,2.6,3.7,3.5,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:web_servers,CVE-2021-44228,90052,https://logging.apache.org/log4j/2.x/security.html,2026-04-02,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0052,host-0052,No,Yes,High,Apache Log4j Remote Code Execution,Web Servers,200052,Low,https://logging.apache.org/log4j/2.x/security.html
9.8,0.891,10.20.14.33,tcp,1433,753,703,Yes,MVA Sample Repository,00:16:3e:35:aa:74,asset-013.corp.local,ASSET-013,Microsoft SQL Server Unsupported Version detected on 10.20.14.33:1433.,Microsoft SQL Server Unsupported Version,Microsoft SQL Server Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,Critical,Critical,9.0,9.8,9.4,9.0,9.8,9.4,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:databases,,90053,https://learn.microsoft.com/sql/sql-server/end-of-support,2026-04-03,2026-06-30,2025-01-15,2026-12-31,2026-01-20,2026-02-01,2026-06-30,Functional exploit exists,Metasploit,Remote,1.0,,,agent-0053,host-0053,No,Yes,High,Microsoft SQL Server Unsupported Version,Databases,200053,Critical,https://learn.microsoft.com/sql/sql-server/end-of-support
7.4,0.673,10.20.15.34,tcp,443,754,704,No,MVA Sample Repository,00:16:3e:36:aa:7b,asset-014.corp.local,ASSET-014,OpenSSL Security Update Available detected on 10.20.15.34:443.,OpenSSL Security Update Available,OpenSSL Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",High,High,7.5,8.1,8.0,7.5,8.1,8.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,E:A,Automatable,cpe:/a:mva:general,CVE-2023-0286,90054,https://www.openssl.org/news/vulnerabilities.html,2026-04-04,2026-06-30,2025-01-15,,2026-01-20,2026-02-01,2026-06-30,No known exploits,,Remote,1.0,,,agent-0054,host-0054,No,Yes,High,OpenSSL Security Update Available,General,200054,High,https://www.openssl.org/news/vulnerabilities.html
